"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 08, 2021","25.269","25.400","25.965","24.970","61.34K","-0.87%"
"Mar 07, 2021","25.490","25.390","25.615","25.390","-","0.80%"
"Mar 05, 2021","25.287","25.385","25.505","24.845","79.26K","-0.68%"
"Mar 04, 2021","25.461","26.175","26.385","25.080","95.00K","-3.51%"
"Mar 03, 2021","26.387","26.860","26.915","25.875","82.46K","-1.83%"
"Mar 02, 2021","26.879","26.630","26.985","25.820","82.14K","0.75%"
"Mar 01, 2021","26.678","26.700","27.175","26.510","71.64K","-0.57%"
"Feb 28, 2021","26.832","26.668","26.840","26.630","-","1.48%"
"Feb 26, 2021","26.440","27.530","27.650","26.160","116.75K","-4.50%"
"Feb 25, 2021","27.685","28.080","28.345","27.345","109.69K","-0.87%"
"Feb 24, 2021","27.928","27.785","28.150","27.415","62.15K","0.67%"
"Feb 23, 2021","27.742","28.310","28.470","27.335","65.50K","-1.22%"
"Feb 22, 2021","28.085","27.555","28.345","27.330","106.24K","2.21%"
"Feb 21, 2021","27.477","27.308","27.630","27.308","-","0.82%"
"Feb 19, 2021","27.254","27.110","27.710","26.105","96.26K","0.65%"
"Feb 18, 2021","27.078","27.465","27.595","26.905","84.30K","-0.87%"
"Feb 17, 2021","27.315","27.310","27.490","26.915","73.03K","-0.04%"
"Feb 16, 2021","27.325","27.490","28.075","26.870","129.34K","-1.25%"
"Feb 15, 2021","27.672","27.503","27.802","27.468","-","0.59%"
"Feb 14, 2021","27.510","27.395","27.615","27.395","-","0.67%"
"Feb 12, 2021","27.328","27.020","27.500","26.910","53.47K","1.04%"
"Feb 11, 2021","27.047","27.095","27.350","26.750","62.16K","-0.11%"
"Feb 10, 2021","27.078","27.350","27.595","26.880","71.17K","-1.18%"
"Feb 09, 2021","27.402","27.370","27.875","27.130","81.81K","-0.63%"
"Feb 08, 2021","27.576","27.200","27.700","26.930","84.38K","0.85%"
"Feb 07, 2021","27.343","27.027","27.390","26.825","-","1.20%"
"Feb 05, 2021","27.019","26.420","27.105","26.255","90.32K","2.99%"
"Feb 04, 2021","26.234","26.960","27.015","25.935","104.91K","-2.44%"
"Feb 03, 2021","26.889","26.735","27.260","26.545","93.58K","1.84%"
"Feb 02, 2021","26.402","29.095","29.150","26.350","208.63K","-10.25%"
"Feb 01, 2021","29.418","28.425","30.350","28.155","325.63K","2.07%"
"Jan 31, 2021","28.820","27.055","29.223","27.055","-","7.08%"
"Jan 29, 2021","26.914","26.625","27.770","26.150","187.56K","3.83%"
"Jan 28, 2021","25.922","25.330","27.100","24.895","190.87K","2.10%"
"Jan 27, 2021","25.389","25.530","25.545","24.715","96.67K","-0.58%"
"Jan 26, 2021","25.538","25.395","25.720","25.230","52.74K","0.21%"
"Jan 25, 2021","25.484","25.535","25.835","25.205","73.17K","-0.51%"
"Jan 24, 2021","25.615","25.497","25.680","25.455","-","0.23%"
"Jan 22, 2021","25.556","26.025","26.045","25.050","75.21K","-1.15%"
"Jan 21, 2021","25.854","25.910","26.130","25.700","59.50K","0.34%"
"Jan 20, 2021","25.766","25.290","25.960","25.060","80.82K","1.76%"
"Jan 19, 2021","25.320","24.835","25.480","24.040","108.90K","1.10%"
"Jan 18, 2021","25.045","24.250","25.200","24.250","-","3.27%"
"Jan 17, 2021","24.253","24.812","24.890","24.220","-","-2.47%"
"Jan 15, 2021","24.866","25.610","25.865","24.610","106.18K","-3.63%"
"Jan 14, 2021","25.802","25.290","25.990","25.095","84.24K","0.90%"
"Jan 13, 2021","25.572","25.655","25.785","25.170","58.51K","0.54%"
"Jan 12, 2021","25.435","25.015","25.745","25.000","65.92K","0.60%"
"Jan 11, 2021","25.284","25.470","25.595","24.365","106.00K","0.60%"
"Jan 10, 2021","25.133","25.358","25.590","24.915","-","2.01%"
"Jan 08, 2021","24.637","27.280","27.335","24.530","186.37K","-9.63%"
"Jan 07, 2021","27.261","27.410","27.495","27.020","69.49K","0.81%"
"Jan 06, 2021","27.042","27.720","28.105","26.700","129.36K","-2.16%"
"Jan 05, 2021","27.640","27.355","27.850","27.150","67.46K","1.01%"
"Jan 04, 2021","27.364","26.770","27.760","26.730","113.76K","1.32%"
"Jan 03, 2021","27.008","26.560","27.085","26.552","-","1.82%"
"Jan 01, 2021","26.525","26.525","26.525","26.525","-","0.43%"
"Dec 31, 2020","26.412","26.835","26.880","26.345","39.62K","-0.61%"
"Dec 30, 2020","26.573","26.325","26.835","26.260","47.68K","1.36%"
"Dec 29, 2020","26.217","26.450","26.770","26.075","64.31K","-1.21%"
"Dec 28, 2020","26.539","26.130","26.980","26.000","81.41K","0.93%"
"Dec 27, 2020","26.295","25.910","26.305","25.910","-","1.49%"
"Dec 24, 2020","25.908","25.740","26.080","25.535","35.14K","-0.05%"
"Dec 23, 2020","25.921","25.315","25.960","25.185","65.50K","1.51%"
"Dec 22, 2020","25.535","26.420","26.815","25.225","108.02K","-3.20%"
"Dec 21, 2020","26.379","26.110","27.635","25.120","133.74K","1.40%"
"Dec 20, 2020","26.015","26.075","26.075","26.005","-","-0.07%"
"Dec 18, 2020","26.033","26.255","26.350","25.865","70.35K","-0.57%"
"Dec 17, 2020","26.181","25.500","26.305","25.335","97.95K","4.51%"
"Dec 16, 2020","25.052","24.645","25.640","24.575","97.98K","1.66%"
"Dec 15, 2020","24.644","23.965","24.700","23.940","62.40K","2.48%"
"Dec 14, 2020","24.047","24.140","24.365","23.755","55.68K","-0.11%"
"Dec 13, 2020","24.073","24.062","24.165","24.038","-","-0.08%"
"Dec 11, 2020","24.092","24.135","24.245","23.690","50.25K","-0.01%"
"Dec 10, 2020","24.094","24.055","24.430","23.825","58.69K","0.43%"
"Dec 09, 2020","23.990","24.735","24.755","23.695","84.50K","-3.02%"
"Dec 08, 2020","24.736","24.655","25.015","24.550","58.83K","-0.23%"
"Dec 07, 2020","24.794","24.310","24.940","23.630","83.05K","2.22%"
"Dec 06, 2020","24.255","24.285","24.365","24.215","-","0.01%"
"Dec 04, 2020","24.253","24.195","24.585","24.065","68.53K","0.48%"
"Dec 03, 2020","24.137","24.220","24.420","23.850","73.44K","0.24%"
"Dec 02, 2020","24.080","24.130","24.455","23.680","76.79K","-0.04%"
"Dec 01, 2020","24.090","22.700","24.180","22.665","89.39K","6.63%"
"Nov 30, 2020","22.593","22.780","22.830","21.960","95.29K","-0.62%"
"Nov 29, 2020","22.735","22.780","22.785","22.727","-","0.42%"
"Nov 27, 2020","22.639","23.485","23.575","22.400","94.53K","-2.48%"
"Nov 26, 2020","23.215","23.395","23.505","23.190","-","-0.99%"
"Nov 25, 2020","23.446","23.390","23.640","23.210","31.88K","0.15%"
"Nov 24, 2020","23.410","23.735","23.765","23.050","44.02K","-0.94%"
"Nov 23, 2020","23.633","24.225","24.455","23.460","106.43K","-2.58%"
"Nov 22, 2020","24.260","24.207","24.262","24.148","-","-0.42%"
"Nov 20, 2020","24.363","24.115","24.600","23.955","76.35K","1.31%"
"Nov 19, 2020","24.048","24.380","24.425","23.670","94.81K","-1.64%"
"Nov 18, 2020","24.448","24.565","24.780","24.235","82.57K","-0.82%"
"Nov 17, 2020","24.651","24.880","24.900","24.435","57.85K","-0.61%"
"Nov 16, 2020","24.802","24.800","25.155","24.255","81.63K","0.11%"
"Nov 15, 2020","24.775","24.738","24.830","24.725","-","0.00%"
"Nov 13, 2020","24.775","24.365","24.900","24.215","60.87K","1.93%"
"Nov 12, 2020","24.306","24.360","24.475","24.090","62.74K","0.16%"
"Nov 11, 2020","24.267","24.305","24.510","23.810","76.99K","-0.80%"
"Nov 10, 2020","24.462","24.180","24.580","23.950","87.44K","3.21%"
"Nov 09, 2020","23.701","25.860","26.135","23.600","168.83K","-9.03%"
"Nov 08, 2020","26.055","25.710","26.130","25.710","-","1.53%"
"Nov 06, 2020","25.662","25.450","25.975","25.010","114.86K","1.87%"
"Nov 05, 2020","25.191","23.980","25.540","23.955","107.65K","5.43%"
"Nov 04, 2020","23.893","24.290","24.620","23.260","101.89K","-1.81%"
"Nov 03, 2020","24.334","24.170","24.485","23.975","60.02K","1.25%"
"Nov 02, 2020","24.033","23.635","24.260","23.460","74.90K","2.23%"
"Nov 01, 2020","23.508","23.695","23.715","23.462","-","-0.58%"
"Oct 30, 2020","23.646","23.350","23.910","23.230","80.57K","1.22%"
"Oct 29, 2020","23.360","23.440","23.650","22.625","102.57K","0.00%"
"Oct 28, 2020","23.359","24.495","24.675","23.060","131.77K","-4.93%"
"Oct 27, 2020","24.570","24.385","24.760","24.265","52.48K","0.61%"
"Oct 26, 2020","24.420","24.750","24.765","24.145","68.93K","-0.43%"
"Oct 25, 2020","24.525","24.672","24.740","24.247","-","-0.61%"
"Oct 23, 2020","24.675","24.835","24.980","24.500","52.73K","-0.14%"
"Oct 22, 2020","24.709","25.180","25.225","24.460","74.44K","-2.11%"
"Oct 21, 2020","25.241","24.795","25.425","24.775","77.69K","1.04%"
"Oct 20, 2020","24.980","24.485","25.060","24.405","57.37K","1.14%"
"Oct 19, 2020","24.698","24.290","25.120","24.215","63.70K","1.52%"
"Oct 18, 2020","24.328","24.315","24.365","24.262","-","-0.32%"
"Oct 16, 2020","24.405","24.430","24.660","24.185","50.59K","0.75%"
"Oct 15, 2020","24.224","24.370","24.440","23.650","72.42K","-0.70%"
"Oct 14, 2020","24.395","24.240","24.725","23.930","63.47K","1.10%"
"Oct 13, 2020","24.129","25.240","25.310","24.015","94.21K","-4.52%"
"Oct 12, 2020","25.271","25.280","25.710","24.905","70.14K","-0.32%"
"Oct 11, 2020","25.352","25.317","25.457","25.200","-","0.97%"
"Oct 09, 2020","25.108","23.970","25.330","23.965","74.75K","5.16%"
"Oct 08, 2020","23.876","23.925","24.355","23.775","46.73K","-0.08%"
"Oct 07, 2020","23.896","23.160","24.120","23.090","59.07K","-0.10%"
"Oct 06, 2020","23.921","24.520","24.650","22.965","72.23K","-2.60%"
"Oct 05, 2020","24.560","24.075","24.675","23.805","50.31K","2.21%"
"Oct 04, 2020","24.030","23.895","24.065","23.830","-","0.00%"
"Oct 02, 2020","24.029","23.900","24.355","23.580","66.34K","-0.93%"
"Oct 01, 2020","24.254","23.355","24.320","23.325","71.45K","3.23%"
"Sep 30, 2020","23.494","24.505","24.505","23.235","90.77K","-3.89%"
"Sep 29, 2020","24.445","23.805","24.545","23.510","79.19K","3.56%"
"Sep 28, 2020","23.604","22.995","23.860","22.610","78.58K","2.27%"
"Sep 27, 2020","23.080","23.038","23.188","22.995","-","-0.06%"
"Sep 25, 2020","23.093","23.240","23.415","22.520","92.92K","-0.44%"
"Sep 24, 2020","23.196","22.875","23.440","21.810","159.01K","0.39%"
"Sep 23, 2020","23.105","24.525","24.620","22.725","151.99K","-5.78%"
"Sep 22, 2020","24.523","24.785","25.300","23.910","109.44K","0.56%"
"Sep 21, 2020","24.387","27.005","27.130","23.780","176.40K","-9.29%"
"Sep 20, 2020","26.885","27.008","27.008","26.677","-","-0.90%"
"Sep 18, 2020","27.129","27.285","27.580","26.870","52.42K","0.11%"
"Sep 17, 2020","27.100","27.345","27.400","26.405","95.31K","-1.37%"
"Sep 16, 2020","27.476","27.350","27.705","27.055","63.70K","0.04%"
"Sep 15, 2020","27.464","27.380","27.865","27.195","60.45K","0.40%"
"Sep 14, 2020","27.355","26.910","27.545","26.850","53.42K","1.42%"
"Sep 13, 2020","26.973","26.927","26.995","26.850","-","0.43%"
"Sep 11, 2020","26.857","27.035","27.240","26.725","60.57K","-1.59%"
"Sep 10, 2020","27.291","27.185","27.755","26.865","86.96K","0.77%"
"Sep 09, 2020","27.083","26.905","27.325","26.565","60.07K","0.34%"
"Sep 08, 2020","26.991","27.040","27.385","25.985","139.90K","-0.27%"
"Sep 07, 2020","27.065","27.047","27.380","26.828","-","0.08%"
"Sep 06, 2020","27.043","27.075","27.192","27.010","-","1.24%"
"Sep 04, 2020","26.712","26.765","27.245","26.455","114.60K","-0.61%"
"Sep 03, 2020","26.875","27.635","27.890","26.630","125.57K","-1.90%"
"Sep 02, 2020","27.395","28.385","28.540","27.275","126.39K","-4.36%"
"Sep 01, 2020","28.645","28.430","29.235","27.835","115.76K","0.18%"
"Aug 31, 2020","28.594","27.830","28.650","27.790","91.97K","1.30%"
"Aug 30, 2020","28.227","27.812","28.462","27.812","-","1.57%"
"Aug 28, 2020","27.790","27.265","27.990","27.050","103.77K","2.18%"
"Aug 27, 2020","27.198","27.775","28.195","26.705","110.13K","-1.47%"
"Aug 26, 2020","27.604","26.760","27.795","26.310","63.98K","4.46%"
"Aug 25, 2020","26.426","26.810","27.015","26.290","36.05K","-0.68%"
"Aug 24, 2020","26.607","26.890","27.340","26.330","122.35K","-0.20%"
"Aug 23, 2020","26.660","26.780","26.900","26.540","-","-0.27%"
"Aug 21, 2020","26.732","27.375","27.635","26.095","160.04K","-1.53%"
"Aug 20, 2020","27.147","26.770","27.630","26.650","153.75K","-0.71%"
"Aug 19, 2020","27.340","27.855","28.130","26.530","212.26K","-2.62%"
"Aug 18, 2020","28.075","27.620","28.605","27.190","213.36K","1.47%"
"Aug 17, 2020","27.667","26.670","27.710","25.915","164.74K","5.49%"
"Aug 16, 2020","26.227","26.578","26.885","26.180","-","0.53%"
"Aug 14, 2020","26.089","27.620","27.885","25.780","223.22K","-5.88%"
"Aug 13, 2020","27.718","25.630","27.855","25.355","245.90K","6.69%"
"Aug 12, 2020","25.979","24.900","26.355","23.580","241.93K","-0.27%"
"Aug 11, 2020","26.049","29.235","29.440","24.480","355.28K","-10.98%"
"Aug 10, 2020","29.261","28.525","29.530","27.960","242.86K","3.58%"
"Aug 09, 2020","28.250","28.355","28.565","27.962","-","2.58%"
"Aug 07, 2020","27.540","29.025","29.915","27.430","283.92K","-3.03%"
"Aug 06, 2020","28.400","27.105","29.200","26.935","236.12K","5.62%"
"Aug 05, 2020","26.890","26.290","27.250","25.640","212.52K","3.31%"
"Aug 04, 2020","26.028","24.490","26.260","24.240","157.04K","6.60%"
"Aug 03, 2020","24.417","24.680","25.275","24.160","78.82K","-1.35%"
"Aug 02, 2020","24.750","24.545","25.267","24.315","-","2.21%"
"Jul 31, 2020","24.216","23.625","24.670","23.410","139.82K","3.66%"
"Jul 30, 2020","23.362","24.450","24.580","23.000","154.86K","-3.94%"
"Jul 29, 2020","24.321","24.580","25.120","23.435","138.90K","0.09%"
"Jul 28, 2020","24.300","24.700","26.275","22.460","253.67K","-0.82%"
"Jul 27, 2020","24.501","22.970","24.820","22.940","188.89K","4.82%"
"Jul 26, 2020","23.375","22.970","23.440","22.965","-","2.30%"
"Jul 24, 2020","22.850","22.835","23.185","22.580","111.99K","-0.60%"
"Jul 23, 2020","22.988","23.405","23.670","22.475","182.28K","-0.67%"
"Jul 22, 2020","23.144","21.700","23.420","21.680","202.39K","7.36%"
"Jul 21, 2020","21.557","20.340","21.725","20.315","142.78K","6.76%"
"Jul 20, 2020","20.192","19.765","20.340","19.655","80.32K","2.36%"
"Jul 19, 2020","19.727","19.755","19.760","19.710","-","-0.19%"
"Jul 17, 2020","19.764","19.535","19.790","19.355","56.42K","0.98%"
"Jul 16, 2020","19.573","19.820","19.870","19.475","54.37K","-0.95%"
"Jul 15, 2020","19.761","19.645","19.845","19.525","58.39K","1.18%"
"Jul 14, 2020","19.530","19.455","19.685","19.240","73.78K","-1.30%"
"Jul 13, 2020","19.788","19.080","19.810","19.080","85.99K","3.23%"
"Jul 12, 2020","19.168","19.075","19.203","19.058","-","0.60%"
"Jul 10, 2020","19.053","19.025","19.195","18.910","62.08K","0.48%"
"Jul 09, 2020","18.962","19.150","19.445","18.830","102.76K","-1.04%"
"Jul 08, 2020","19.161","18.625","19.215","18.585","84.23K","2.47%"
"Jul 07, 2020","18.699","18.585","18.720","18.235","71.67K","0.63%"
"Jul 06, 2020","18.582","18.270","18.780","18.245","63.13K","1.36%"
"Jul 05, 2020","18.332","18.335","18.363","18.300","-","0.09%"
"Jul 03, 2020","18.315","18.250","18.345","18.223","-","-0.04%"
"Jul 02, 2020","18.322","18.285","18.400","17.995","49.86K","0.57%"
"Jul 01, 2020","18.218","18.580","18.850","18.095","86.82K","-2.25%"
"Jun 30, 2020","18.637","18.095","18.655","18.020","75.09K","3.17%"
"Jun 29, 2020","18.064","18.110","18.285","17.935","50.25K","0.33%"
"Jun 28, 2020","18.005","17.878","18.098","17.878","-","-0.17%"
"Jun 26, 2020","18.035","17.925","18.125","17.560","41.65K","0.78%"
"Jun 25, 2020","17.895","17.575","17.940","17.500","46.32K","1.27%"
"Jun 24, 2020","17.670","18.100","18.255","17.425","71.47K","-2.18%"
"Jun 23, 2020","18.063","17.805","18.140","17.730","75.91K","0.90%"
"Jun 22, 2020","17.902","17.920","18.190","17.785","75.21K","-0.38%"
"Jun 21, 2020","17.970","17.837","17.983","17.837","-","0.69%"
